name,focus,f,cx,cy
ZR0_0690_0728197837_034RAD_N0321184ZCAM08692_0340LMA01,882,4738.2430175,24.0,44.0
ZR0_0690_0728197852_034RAD_N0321184ZCAM08692_0340LMA01,882,4737.95600741,24.0,44.0
ZR0_0690_0728197867_034RAD_N0321184ZCAM08692_0340LMA01,882,4737.60050082,24.0,44.0
ZR0_0690_0728197882_034RAD_N0321184ZCAM08692_0340LMA01,882,4738.21405643,24.0,44.0
ZR0_0690_0728197897_034RAD_N0321184ZCAM08692_0340LMA01,882,4739.13374988,24.0,44.0
ZR0_0690_0728197912_034RAD_N0321184ZCAM08692_0340LMA01,882,4740.83665621,24.0,44.0
ZR0_0690_0728197927_035RAD_N0321184ZCAM08692_0340LMA01,882,4741.23253711,24.0,44.0
ZR0_0690_0728197943_034RAD_N0321184ZCAM08692_0340LMA01,882,4740.42870892,24.0,44.0
ZR0_0690_0728197956_034RAD_N0321184ZCAM08692_0340LMA01,1116,4757.16700751,24.0,44.0
ZR0_0690_0728197975_035RAD_N0321184ZCAM08692_0340LMA01,1116,4758.85826292,24.0,44.0
ZR0_0690_0728197989_034RAD_N0321184ZCAM08692_0340LMA01,1116,4756.93796939,24.0,44.0
ZR0_0690_0728198007_035RAD_N0321184ZCAM08692_0340LMA01,1116,4756.16674419,24.0,44.0
ZR0_0690_0728198023_035RAD_N0321184ZCAM08692_0340LMA01,1116,4753.40258323,24.0,44.0
ZR0_0690_0728198038_034RAD_N0321184ZCAM08692_0340LMA01,1116,4753.96656693,24.0,44.0
ZR0_0690_0728198053_034RAD_N0321184ZCAM08692_0340LMA01,1116,4752.90067868,24.0,44.0
ZR0_0690_0728198068_034RAD_N0321184ZCAM08692_0340LMA01,1116,4752.48993234,24.0,44.0
ZR0_0690_0728198083_034RAD_N0321184ZCAM08692_0340LMA01,1092,4753.7531557,24.0,44.0
ZR0_0690_0728198100_036RAD_N0321184ZCAM08692_0340LMA01,1092,4752.03384686,24.0,44.0
ZR0_0690_0728198116_034RAD_N0321184ZCAM08692_0340LMA01,1092,4754.34385202,24.0,44.0
ZR0_0690_0728198131_035RAD_N0321184ZCAM08692_0340LMA01,1092,4752.45334033,24.0,44.0
ZR0_0690_0728198146_035RAD_N0321184ZCAM08692_0340LMA01,1092,4753.79067151,24.0,44.0
