name,focus,f,cx,cy
ZL0_0690_0728197822_034RAD_N0321184ZCAM08692_0340LMA01,834,4728.49833555,41.0,15.0
ZL0_0690_0728197837_034RAD_N0321184ZCAM08692_0340LMA01,834,4728.2222512,41.0,15.0
ZL0_0690_0728197852_034RAD_N0321184ZCAM08692_0340LMA01,834,4728.91276439,41.0,15.0
ZL0_0690_0728197867_034RAD_N0321184ZCAM08692_0340LMA01,834,4728.52588079,41.0,15.0
ZL0_0690_0728197882_034RAD_N0321184ZCAM08692_0340LMA01,834,4729.24460488,41.0,15.0
ZL0_0690_0728197897_034RAD_N0321184ZCAM08692_0340LMA01,834,4729.94478135,41.0,15.0
ZL0_0690_0728197912_034RAD_N0321184ZCAM08692_0340LMA01,834,4730.54013939,41.0,15.0
ZL0_0690_0728197927_035RAD_N0321184ZCAM08692_0340LMA02,834,4731.20059672,41.0,15.0
ZL0_0690_0728197943_034RAD_N0321184ZCAM08692_0340LMA01,834,4730.78765098,41.0,15.0
ZL0_0690_0728197956_034RAD_N0321184ZCAM08692_0340LMA01,1062,4744.5033519,41.0,15.0
ZL0_0690_0728197975_035RAD_N0321184ZCAM08692_0340LMA01,1062,4745.40426908,41.0,15.0
ZL0_0690_0728197989_034RAD_N0321184ZCAM08692_0340LMA01,1062,4743.80571024,41.0,15.0
ZL0_0690_0728198007_035RAD_N0321184ZCAM08692_0340LMA01,1062,4743.56711113,41.0,15.0
ZL0_0690_0728198023_035RAD_N0321184ZCAM08692_0340LMA01,1062,4741.39421365,41.0,15.0
ZL0_0690_0728198038_034RAD_N0321184ZCAM08692_0340LMA01,1062,4741.92377611,41.0,15.0
ZL0_0690_0728198053_034RAD_N0321184ZCAM08692_0340LMA01,1062,4741.05605969,41.0,15.0
ZL0_0690_0728198068_034RAD_N0321184ZCAM08692_0340LMA01,1062,4739.84401854,41.0,15.0
ZL0_0690_0728198083_034RAD_N0321184ZCAM08692_0340LMA01,1032,4740.12822942,41.0,15.0
ZL0_0690_0728198100_036RAD_N0321184ZCAM08692_0340LMA01,1032,4740.26277099,41.0,15.0
ZL0_0690_0728198116_034RAD_N0321184ZCAM08692_0340LMA01,1032,4742.27975604,41.0,15.0
ZL0_0690_0728198131_035RAD_N0321184ZCAM08692_0340LMA01,1032,4739.7204484,41.0,15.0
ZL0_0690_0728198146_035RAD_N0321184ZCAM08692_0340LMA01,1032,4739.33483879,41.0,15.0
ZL0_0690_0728198162_034RAD_N0321184ZCAM08692_0340LMA01,1032,4738.98510788,41.0,15.0
ZL0_0690_0728198176_034RAD_N0321184ZCAM08692_0340LMA01,1032,4739.90443384,41.0,15.0
ZL0_0690_0728198191_035RAD_N0321184ZCAM08692_0340LMA01,1032,4742.62476659,41.0,15.0
ZL0_0690_0728198206_035RAD_N0321184ZCAM08692_0340LMA01,1032,4743.3670111,41.0,15.0
ZL0_0690_0728198220_069RAD_N0321184ZCAM08692_0340LMA01,1032,4740.8283576,41.0,15.0
ZL0_0690_0728198235_034RAD_N0321184ZCAM08692_0340LMA01,1032,4742.14996759,41.0,15.0
ZL0_0690_0728198250_035RAD_N0321184ZCAM08692_0340LMA01,1062,4744.87839051,41.0,15.0
ZL0_0690_0728198265_034RAD_N0321184ZCAM08692_0340LMA01,1062,4746.98639091,41.0,15.0
ZL0_0690_0728198278_034RAD_N0321184ZCAM08692_0340LMA01,1062,4728.63829137,41.0,15.0
ZL0_0692_0728371226_165RAD_N0321184ZCAM05086_0340LMA01,216,4700.78263163,41.0,15.0
ZL0_0692_0728371277_159RAD_N0321184ZCAM05086_0340LMA01,-48,4703.52418298,41.0,15.0
ZL0_0692_0728371295_159RAD_N0321184ZCAM05086_0340LMA01,114,4698.0925865,41.0,15.0
ZL0_0692_0728371314_159RAD_N0321184ZCAM05086_0340LMA01,84,4693.05633947,41.0,15.0
ZL0_0692_0728371335_159RAD_N0321184ZCAM05086_0340LMA01,-102,4680.76611501,41.0,15.0
ZL0_0692_0728371353_160RAD_N0321184ZCAM05086_0340LMA01,-12,4691.22736167,41.0,15.0
ZL0_0692_0728371372_159RAD_N0321184ZCAM05086_0340LMA01,-12,4691.4672224,41.0,15.0
ZL0_0692_0728371386_159RAD_N0321184ZCAM05086_0340LMA01,-744,4654.18058986,41.0,15.0
ZL0_0692_0728371415_159RAD_N0321184ZCAM05086_0340LMA01,-744,4652.66756465,41.0,15.0
ZL0_0692_0728371432_159RAD_N0321184ZCAM05086_0340LMA02,-744,4653.66354108,41.0,15.0
ZL0_0692_0728371432_159RAD_N0321184ZCAM05086_0340LMA03,-744,4653.69831518,41.0,15.0
ZL0_0692_0728371451_159RAD_N0321184ZCAM05086_0340LMA01,-1026,4635.9777742,41.0,15.0
ZL0_0692_0728371471_159RAD_N0321184ZCAM05086_0340LMA01,-1026,4635.1945109,41.0,15.0
ZL0_0692_0728371488_159RAD_N0321184ZCAM05086_0340LMA01,-1026,4635.95755174,41.0,15.0
ZL0_0692_0728371507_159RAD_N0321184ZCAM05086_0340LMA01,-378,4671.5007785,41.0,15.0
ZL0_0692_0728371532_159RAD_N0321184ZCAM05086_0340LMA01,-264,4676.40797036,41.0,15.0
ZL0_0692_0728371554_159RAD_N0321184ZCAM05086_0340LMA01,-612,4657.11841176,41.0,15.0
ZL0_0692_0728371570_160RAD_N0321184ZCAM05086_0340LMA01,-264,4677.12325088,41.0,15.0
ZL0_0692_0728371592_159RAD_N0321184ZCAM05086_0340LMA01,-402,4667.29034746,41.0,15.0
ZL0_0692_0728371613_159RAD_N0321184ZCAM05086_0340LMA01,-504,4658.08372535,41.0,15.0
ZL0_0692_0728371630_160RAD_N0321184ZCAM05086_0340LMA01,-780,4644.69914468,41.0,15.0
ZL0_0692_0728371651_159RAD_N0321184ZCAM05086_0340LMA01,-810,4643.88397817,41.0,15.0
ZL0_0692_0728371672_159RAD_N0321184ZCAM05086_0340LMA01,-666,4652.99084621,41.0,15.0
ZL0_0692_0728371693_159RAD_N0321184ZCAM05086_0340LMA01,-666,4651.21774266,41.0,15.0
ZL0_0692_0728371709_159RAD_N0321184ZCAM05086_0340LMA01,-834,4645.80558398,41.0,15.0
ZL0_0692_0728371730_159RAD_N0321184ZCAM05086_0340LMA01,-1056,4638.25086069,41.0,15.0
ZL0_0692_0728371750_159RAD_N0321184ZCAM05086_0340LMA01,-762,4653.22657468,41.0,15.0
ZL0_0692_0728371774_159RAD_N0321184ZCAM05086_0340LMA01,-1104,4630.57260186,41.0,15.0
ZL0_0692_0728371795_160RAD_N0321184ZCAM05086_0340LMA01,-1056,4634.44057323,41.0,15.0
ZL0_0692_0728371817_159RAD_N0321184ZCAM05086_0340LMA01,-1620,4607.50980193,41.0,15.0
ZL0_0692_0728371842_159RAD_N0321184ZCAM05086_0340LMA01,-1548,4613.2543638,41.0,15.0
ZL0_0692_0728371868_159RAD_N0321184ZCAM05086_0340LMA01,-1086,4632.39955611,41.0,15.0
ZL0_0692_0728371894_159RAD_N0321184ZCAM05086_0340LMA01,-1056,4634.77751055,41.0,15.0
ZL0_0692_0728371916_159RAD_N0321184ZCAM05086_0340LMA01,-1080,4631.74003722,41.0,15.0
ZL0_0692_0728371935_159RAD_N0321184ZCAM05086_0340LMA01,-1008,4630.83151834,41.0,15.0
ZL0_0692_0728371956_159RAD_N0321184ZCAM05086_0340LMA01,-1584,4608.8278469,41.0,15.0
ZL0_0692_0728371978_159RAD_N0321184ZCAM05086_0340LMA01,-1542,4619.00513017,41.0,15.0
ZL0_0692_0728372000_159RAD_N0321184ZCAM05086_0340LMA01,-1422,4622.48913375,41.0,15.0
ZL0_0692_0728372022_159RAD_N0321184ZCAM05086_0340LMA01,-1734,4615.95038341,41.0,15.0
ZL0_0692_0728372044_159RAD_N0321184ZCAM05086_0340LMA01,-1800,4586.24483026,41.0,15.0
ZL0_0692_0728372071_159RAD_N0321184ZCAM05086_0340LMA01,-1206,4622.27960554,41.0,15.0
ZL0_0692_0728372099_159RAD_N0321184ZCAM05086_0340LMA01,-1482,4610.09566863,41.0,15.0
ZL0_0692_0728372128_159RAD_N0321184ZCAM05086_0340LMA01,-270,4671.91893418,41.0,15.0
ZL0_0692_0728372158_159RAD_N0321184ZCAM05086_0340LMA01,-378,4666.19655011,41.0,15.0
ZL0_0692_0728372180_159RAD_N0321184ZCAM05086_0340LMA01,-102,4690.01953138,41.0,15.0
ZL0_0692_0728372204_159RAD_N0321184ZCAM05086_0340LMA01,-102,4692.80049673,41.0,15.0
ZL0_0692_0728372226_160RAD_N0321184ZCAM05086_0340LMA01,-102,4686.26502642,41.0,15.0
ZL0_0692_0728372240_159RAD_N0321184ZCAM05086_0340LMA01,-30,4687.53979971,41.0,15.0
ZL0_0692_0728372259_159RAD_N0321184ZCAM05086_0340LMA01,114,4691.49301506,41.0,15.0
ZL0_0692_0728372283_159RAD_N0321184ZCAM05086_0340LMA01,240,4699.87423712,41.0,15.0
ZL0_0692_0728372300_159RAD_N0321184ZCAM05086_0340LMA01,-174,4677.07333309,41.0,15.0
ZL0_0692_0728372328_159RAD_N0321184ZCAM05086_0340LMA01,-834,4657.46141195,41.0,15.0
ZL0_0692_0728372348_159RAD_N0321184ZCAM05086_0340LMA01,-834,4585.98182901,41.0,15.0
ZL0_0692_0728372370_159RAD_N0321184ZCAM05086_0340LMA01,-378,4665.00938004,41.0,15.0
ZL0_0692_0728372395_160RAD_N0321184ZCAM05086_0340LMA01,-270,4666.03849493,41.0,15.0
ZL0_0692_0728372424_159RAD_N0321184ZCAM05086_0340LMA01,-1182,4730.0,41.0,15.0
ZL0_0692_0728372448_159RAD_N0321184ZCAM05086_0340LMA01,-1056,4603.74052148,41.0,15.0
ZL0_0692_0728372475_159RAD_N0321184ZCAM05086_0340LMA01,-1662,4633.25469721,41.0,15.0
ZL0_0692_0728372503_159RAD_N0321184ZCAM05086_0340LMA01,-1662,4642.78840028,41.0,15.0
ZL0_0692_0728372526_159RAD_N0321184ZCAM05086_0340LMA01,-1662,4625.59115855,41.0,15.0
ZL0_0692_0728372547_159RAD_N0321184ZCAM05086_0340LMA01,-1056,4730.0,41.0,15.0
