#Label	Enable	X	Y	Z	Omega	Phi	Kappa	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Omega_error	Phi_error	Kappa_error	X_est	Y_est	Z_est	Omega_est	Phi_est	Kappa_est
ZL0_0023_0668982767_910RAD_N0030770ZCAM03003_0630LMA01.png	1	0.6732600000	0.7410000000	1.9712500000	-57.1313100000	12.2340100000	-186.6575800000														
ZL0_0023_0668982848_910RAD_N0030770ZCAM03003_0630LMA01.png	1	0.6794300000	0.7546300000	1.9725900000	-59.8332900000	7.5791300000	-183.2898300000														
ZL0_0023_0668982932_910RAD_N0030770ZCAM03003_0790LMA01.png	1	0.6722900000	0.7368600000	1.9686300000	-57.1301700000	12.2326800000	-186.6570700000														
ZL0_0023_0668983012_910RAD_N0030770ZCAM03003_0790LMA01.png	1	0.6788500000	0.7503000000	1.9701300000	-59.8316100000	7.5826000000	-183.2920900000														
ZL0_0023_0668983099_910RAD_N0030770ZCAM03003_1000LMA01.png	1	0.6722400000	0.7366600000	1.9684700000	-56.9135000000	12.2101700000	-186.7008200000														
ZL0_0023_0668983425_910RAD_N0030770ZCAM03003_1000LMA01.png	1	0.6788600000	0.7503100000	1.9701300000	-59.8332900000	7.5791300000	-183.2898300000														
ZL0_0023_0668983552_910RAD_N0030770ZCAM03003_1100LMA01.png	1	0.6713100000	0.7327100000	1.9660100000	-57.1301700000	12.2326800000	-186.6570700000														
ZL0_0023_0668983625_910RAD_N0030770ZCAM03003_1100LMA01.png	1	0.6782800000	0.7459800000	1.9676800000	-59.8315300000	7.5837800000	-183.2927900000														
ZL0_0024_0669066266_156RAD_N0030792ZCAM08001_0260LUC01.png	1																				
ZL0_0024_0669066272_156RAD_N0030792ZCAM08001_1100LUC01.png	1																				
ZL0_0026_0669245310_186RAD_N0030792ZCAM08002_0260LUC01.png	1																				
ZL0_0026_0669245316_186RAD_N0030792ZCAM08002_1100LUC01.png	1																				
ZL0_0026_0669245431_186RAD_N0030792ZCAM08002_1100LUC01.png	1																				
ZL0_0026_0669249784_102RAD_N0030792ZCAM03004_1100LMA01.png	1	0.6707700000	0.7312000000	1.9649500000	-55.7884700000	12.2511200000	-187.0328300000														
ZL0_0026_0669249969_136RAD_N0030792ZCAM03004_1000LMA01.png	1	0.6720800000	0.7360300000	1.9679700000	-56.2205400000	12.1372200000	-186.8404900000														
ZL0_0026_0669250053_148RAD_N0030792ZCAM03004_0790LMA01.png	1	0.6724700000	0.7370300000	1.9684600000	-56.9304300000	12.0475200000	-186.5934200000														
ZL0_0026_0669250448_098RAD_N0030792ZCAM03004_0630LMA01.png	1	0.6733900000	0.7409900000	1.9709700000	-56.7285200000	12.0221700000	-186.6307000000														
ZL0_0026_0669250527_098RAD_N0030792ZCAM03004_0480LMA01.png	1	0.6770800000	0.7415500000	1.9650000000	-56.3996500000	7.9688000000	-184.0736400000														
