Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
238,7,2280,-81.958,186.821,5.642,-445.608,-637.856,0.928,-363.650,-824.677,-4.714
239,7,2378,-79.007,192.670,5.740,-442.690,-632.240,0.924,-363.683,-824.910,-4.816
248,8,0,0.000,0.000,0.000,-442.276,-632.051,0.756,-442.276,-632.051,0.756
278,8,64,1.924,-2.257,0.319,-440.051,-634.314,1.204,-441.974,-632.057,0.885
280,8,256,-33.078,-5.933,-2.936,-475.114,-637.330,-2.120,-442.036,-631.397,0.816
281,8,410,-55.723,-32.098,-5.386,-498.185,-663.009,-4.524,-442.462,-630.911,0.862
283,8,458,-53.385,-30.638,-5.285,-495.018,-661.840,-4.389,-441.633,-631.202,0.896
285,8,734,-88.920,-72.056,-5.726,-530.607,-702.791,-4.988,-441.687,-630.735,0.738
286,9,0,0.000,0.000,0.000,-534.830,-709.314,-4.528,-534.830,-709.314,-4.528
328,9,82,2.260,-3.719,0.219,-532.700,-712.764,-4.385,-534.960,-709.045,-4.604
333,9,178,-1.219,-3.416,0.425,-536.262,-712.557,-4.351,-535.043,-709.141,-4.776
335,9,276,-3.162,-3.230,0.412,-538.147,-712.368,-4.315,-534.985,-709.138,-4.727
340,9,364,-20.961,0.718,1.132,-556.055,-708.409,-3.501,-535.093,-709.127,-4.633
340,9,1554,104.690,-115.610,-0.325,-432.869,-824.766,-4.734,-537.559,-709.156,-4.409
341,9,2818,306.943,-170.882,-6.891,-232.606,-880.640,-10.794,-539.549,-709.758,-3.903
342,9,2858,318.641,-176.401,-7.249,-221.126,-886.089,-11.224,-539.767,-709.688,-3.975
343,9,2982,323.479,-189.481,-6.265,-205.092,-899.287,-10.049,-528.571,-709.806,-3.784
359,10,0,0.000,0.000,0.000,56.611,-233.380,0.191,56.611,-233.380,0.191
360,10,1114,14.352,189.407,0.515,72.238,-45.701,0.688,57.885,-235.108,0.173
361,11,0,0.000,0.000,0.000,87.262,-43.457,1.188,87.262,-43.457,1.188
379,11,1110,-56.278,139.531,-0.039,33.049,94.882,1.076,89.327,-44.649,1.115
380,11,2472,104.097,306.660,-1.256,193.350,258.971,0.154,89.253,-47.689,1.410
381,12,0,0.000,0.000,0.000,193.350,258.971,0.154,193.350,258.971,0.154
382,13,0,0.000,0.000,0.000,452.861,389.596,-1.292,452.861,389.596,-1.292
383,13,1280,164.594,149.501,-0.198,616.969,536.092,-0.734,452.375,386.591,-0.536
384,13,2448,171.600,352.689,1.731,625.169,737.537,1.140,453.569,384.848,-0.591
385,14,0,0.000,0.000,0.000,621.342,750.545,1.089,621.342,750.545,1.089
386,14,1176,65.960,210.204,0.748,688.580,958.131,2.022,622.621,747.927,1.274
387,15,0,0.000,0.000,0.000,601.229,1176.533,2.169,601.229,1176.533,2.169
388,15,1334,-184.080,160.938,3.477,419.740,1337.890,5.216,603.820,1176.952,1.739
389,16,0,0.000,0.000,0.000,199.910,1403.036,6.720,199.910,1403.036,6.720
394,17,0,0.000,0.000,0.000,71.503,1397.758,7.793,71.503,1397.758,7.793
395,17,1064,-196.367,-21.187,6.308,-123.181,1376.231,13.558,73.186,1397.418,7.250
396,18,0,0.000,0.000,0.000,-277.375,1348.107,12.167,-277.375,1348.107,12.167
397,18,320,-45.433,-34.800,-0.070,-322.351,1313.536,12.126,-276.918,1348.336,12.196
398,18,1622,-194.648,-108.495,-1.438,-471.267,1242.207,11.414,-276.619,1350.702,12.852
399,19,0,0.000,0.000,0.000,-664.104,1151.764,12.919,-664.104,1151.764,12.919
400,19,1126,-167.923,-126.862,2.029,-830.984,1026.427,14.736,-663.061,1153.289,12.707
401,19,2066,-345.121,-148.890,5.267,-1006.837,1005.823,17.983,-661.716,1154.713,12.716
402,20,0,0.000,0.000,0.000,-1174.414,947.725,17.851,-1174.414,947.725,17.851
404,20,1422,-239.602,-78.984,4.872,-1412.830,870.814,22.179,-1173.228,949.798,17.307
405,21,0,0.000,0.000,0.000,-1636.261,738.027,20.042,-1636.261,738.027,20.042
407,21,1126,-181.245,-101.564,-1.993,-1816.110,638.267,18.359,-1634.865,739.831,20.352
408,21,2560,-433.026,-196.050,0.467,-2066.194,545.669,20.639,-1633.168,741.719,20.172
409,22,0,0.000,0.000,0.000,-2275.147,552.380,24.309,-2275.147,552.380,24.309
413,22,788,-105.685,-47.764,1.062,-2379.426,505.553,24.635,-2273.741,553.317,23.574
413,22,634,-100.095,-18.919,1.228,-2374.299,534.320,24.865,-2274.204,553.239,23.637
413,22,532,-90.868,-1.212,1.219,-2365.176,551.739,25.157,-2274.308,552.951,23.939
413,22,412,-79.351,15.052,1.286,-2353.375,567.574,25.362,-2274.024,552.522,24.076
414,23,0,0.000,0.000,0.000,-2520.802,433.615,25.120,-2520.802,433.615,25.120
415,23,824,-48.568,-152.407,4.363,-2569.360,283.215,29.632,-2520.792,435.622,25.270
416,23,1180,-68.659,-218.122,10.013,-2589.567,218.062,35.229,-2520.909,436.184,25.217
418,23,2096,-223.899,-182.509,21.419,-2742.706,255.653,46.048,-2518.807,438.162,24.629
419,23,2532,-249.618,-191.434,24.186,-2768.625,246.642,48.999,-2519.007,438.076,24.813
420,23,2872,-265.950,-129.099,21.576,-2784.289,308.100,46.838,-2518.339,437.199,25.262
421,23,3142,-262.164,-88.938,18.456,-2780.029,347.877,43.510,-2517.865,436.815,25.054
422,24,0,0.000,0.000,0.000,-2780.971,352.043,43.445,-2780.971,352.043,43.445
426,24,902,114.612,-23.031,-8.701,-2667.663,328.950,35.293,-2782.275,351.981,43.994
427,24,1328,175.569,-33.951,-13.633,-2608.003,318.393,30.810,-2783.572,352.344,44.443
428,24,1970,219.546,58.717,-18.915,-2563.271,409.221,25.925,-2782.817,350.504,44.840
430,24,1992,219.453,58.720,-18.934,-2563.271,409.296,25.925,-2782.724,350.576,44.859
432,24,2770,347.412,140.249,-19.635,-2437.466,488.417,24.859,-2784.878,348.168,44.494
433,24,3170,398.242,186.793,-19.694,-2386.665,534.773,24.853,-2784.907,347.980,44.547
434,24,3290,403.379,214.384,-19.476,-2381.726,561.881,25.221,-2785.105,347.497,44.697
436,24,3900,399.778,327.563,-18.304,-2385.044,672.991,26.678,-2784.822,345.428,44.982
437,24,4232,414.799,393.598,-15.267,-2369.210,739.422,29.915,-2784.009,345.824,45.182
439,24,4358,422.491,411.353,-13.758,-2361.632,756.464,31.155,-2784.123,345.111,44.913
441,24,4470,418.695,426.531,-10.889,-2365.402,771.488,33.907,-2784.097,344.957,44.796
441,24,4412,424.446,426.368,-11.197,-2360.143,771.243,33.496,-2784.589,344.875,44.693
441,25,0,0.000,0.000,0.000,-2378.559,772.600,34.280,-2378.559,772.600,34.280
443,25,94,-27.165,-4.270,-0.397,-2405.496,768.283,33.763,-2378.331,772.553,34.160
443,25,214,422.491,411.353,-13.758,-2440.972,764.645,33.914,-2863.463,353.292,47.672
448,25,446,-127.489,-13.338,0.273,-2504.591,759.782,34.330,-2377.102,773.120,34.057
449,26,0,0.000,0.000,0.000,-2506.646,763.608,35.132,-2506.646,763.608,35.132
455,26,96,-1.446,22.983,4.857,-2508.022,786.173,39.883,-2506.577,763.191,35.026
456,26,218,11.252,30.773,7.261,-2495.618,793.676,42.518,-2506.870,762.903,35.257
460,26,470,-12.251,60.429,10.528,-2518.389,823.159,45.699,-2506.138,762.730,35.171
461,26,630,-9.192,71.148,11.493,-2515.468,833.678,46.606,-2506.276,762.530,35.113
464,26,756,-16.753,77.445,12.765,-2522.876,839.710,47.827,-2506.123,762.265,35.062
474,26,850,-12.075,81.230,13.255,-2517.975,843.405,48.319,-2505.900,762.175,35.064
477,26,1004,-8.418,83.624,13.543,-2514.167,845.742,49.057,-2505.749,762.118,35.514
501,26,1154,-20.432,71.465,12.043,-2526.306,833.866,47.082,-2505.874,762.401,35.039
502,26,1222,-21.744,68.412,11.565,-2527.814,831.039,46.742,-2506.071,762.627,35.177
535,26,1652,58.647,51.118,8.756,-2448.946,813.432,44.389,-2507.593,762.314,35.633
536,26,2018,129.444,43.459,7.807,-2378.748,805.477,43.444,-2508.192,762.018,35.637
538,26,2548,135.132,-39.731,-6.764,-2374.525,723.210,28.961,-2509.657,762.941,35.725
539,26,3008,92.960,-130.426,-8.790,-2416.259,633.743,26.263,-2509.219,764.169,35.053
541,26,3482,35.665,-221.822,-8.311,-2473.224,544.123,26.512,-2508.889,765.945,34.823
542,26,4200,-33.567,-334.943,-9.533,-2541.462,432.597,25.457,-2507.895,767.540,34.990
543,26,5150,-77.162,-434.274,-6.032,-2584.817,334.794,28.746,-2507.655,769.068,34.778
548,26,5214,-84.998,-444.857,-5.258,-2592.583,323.841,29.812,-2507.585,768.698,35.070
551,26,5226,-85.430,-444.813,-5.199,-2593.036,323.860,29.908,-2507.606,768.673,35.107
555,27,0,0.000,0.000,0.000,-2759.746,337.659,42.545,-2759.746,337.659,42.545
557,28,0,0.000,0.000,0.000,-2779.803,362.544,43.391,-2779.803,362.544,43.391
565,29,0,0.000,0.000,0.000,-2779.953,361.526,43.385,-2779.953,361.526,43.385
592,29,144,-6.440,38.246,1.167,-2786.117,399.154,44.529,-2779.678,360.908,43.362
592,29,58,-5.728,17.500,0.354,-2785.307,378.455,43.743,-2779.579,360.955,43.389
593,30,0,0.000,0.000,0.000,-2790.208,397.307,44.625,-2790.208,397.307,44.625
606,30,1096,-121.318,130.814,8.447,-2908.888,527.835,52.366,-2787.570,397.021,43.919
609,30,1172,-120.835,137.619,8.738,-2908.511,534.471,52.615,-2787.676,396.852,43.877
629,30,1344,-118.938,94.628,7.511,-2906.702,491.942,51.608,-2787.764,397.314,44.097
629,30,1524,-97.485,72.180,7.365,-2885.646,469.603,51.683,-2788.161,397.423,44.318
629,30,1776,-52.957,63.610,4.485,-2841.631,461.025,48.845,-2788.674,397.415,44.360
629,30,2188,10.133,17.735,1.790,-2780.142,414.801,46.077,-2790.275,397.066,44.287
632,31,0,0.000,0.000,0.000,-2790.250,397.382,44.625,-2790.250,397.382,44.625
641,31,500,33.618,-78.223,-1.139,-2758.012,320.693,43.661,-2791.630,398.916,44.800
645,31,856,96.370,-68.811,-7.243,-2695.920,328.912,37.823,-2792.290,397.723,45.066
648,32,0,0.000,0.000,0.000,-2456.636,467.802,24.748,-2456.636,467.802,24.748
652,32,148,31.971,6.723,-0.262,-2425.025,474.391,24.647,-2456.996,467.668,24.909
654,32,250,37.135,0.535,-0.418,-2420.058,468.453,24.431,-2457.193,467.918,24.849
658,32,378,49.093,9.365,-0.335,-2407.862,476.861,24.601,-2456.955,467.496,24.936
663,32,482,50.335,15.084,-0.269,-2406.580,482.214,24.719,-2456.915,467.130,24.988
667,32,580,57.264,12.570,-0.331,-2400.027,479.827,24.640,-2457.291,467.257,24.971
674,32,774,64.984,12.821,-0.339,-2392.447,480.320,24.467,-2457.431,467.499,24.806
678,32,896,74.606,29.597,-0.187,-2382.650,496.556,24.815,-2457.256,466.959,25.002
681,32,1038,80.071,33.264,-0.259,-2377.150,500.175,24.628,-2457.221,466.911,24.887
684,32,1174,71.278,51.340,-0.050,-2385.927,517.856,24.707,-2457.205,466.516,24.757
686,32,1184,71.211,51.747,-0.046,-2385.991,518.254,24.707,-2457.202,466.508,24.753
693,32,1394,71.227,100.362,0.379,-2385.383,566.217,25.421,-2456.610,465.855,25.042
694,32,2340,89.104,283.534,5.534,-2367.061,746.661,30.473,-2456.165,463.127,24.940
695,33,0,0.000,0.000,0.000,-2365.930,756.577,31.424,-2365.930,756.577,31.424
698,33,262,-9.326,34.463,7.549,-2374.978,790.547,38.495,-2365.652,756.084,30.946
700,33,366,-2.715,42.754,10.416,-2368.229,799.105,41.746,-2365.514,756.351,31.330
702,33,402,-6.598,49.159,12.177,-2372.046,805.382,43.334,-2365.448,756.223,31.157
707,33,612,-20.023,74.614,15.953,-2385.458,830.699,47.093,-2365.435,756.085,31.140
707,33,580,-15.215,73.627,15.889,-2380.557,829.530,46.997,-2365.342,755.903,31.109
708,33,1756,-169.353,159.237,29.300,-2532.489,915.641,60.344,-2363.136,756.404,31.044
711,33,2864,-335.623,254.136,42.461,-2695.957,1010.272,73.140,-2360.334,756.136,30.679
713,33,3878,-384.253,396.210,48.466,-2743.007,1150.708,78.660,-2358.754,754.498,30.194
714,33,4752,-467.820,484.895,49.698,-2825.081,1238.381,79.467,-2357.261,753.486,29.769
715,34,0,0.000,0.000,0.000,-2867.720,1421.358,82.962,-2867.720,1421.358,82.962
716,34,952,-47.356,172.490,3.960,-2913.638,1591.495,86.760,-2866.282,1419.005,82.800
718,34,2098,-140.484,345.593,9.068,-3005.175,1762.912,91.759,-2864.691,1417.319,82.691
719,34,4394,-542.817,417.148,26.145,-3402.497,1838.044,106.989,-2859.680,1420.896,80.845
721,34,5120,-573.651,345.654,29.946,-3433.487,1767.285,110.875,-2859.836,1421.631,80.929
726,35,0,0.000,0.000,0.000,-3433.487,1767.285,110.875,-3433.487,1767.285,110.875
727,36,0,0.000,0.000,0.000,-3433.487,1767.285,110.875,-3433.487,1767.285,110.875
731,36,1610,-173.488,-90.852,3.441,-3605.815,1677.562,114.663,-3432.327,1768.414,111.222
731,36,334,-57.210,9.905,-3.095,-3490.188,1777.048,107.469,-3432.978,1767.143,110.564
732,36,3294,-311.936,-246.003,10.695,-3744.099,1525.786,120.767,-3432.163,1771.789,110.072
736,37,0,0.000,0.000,0.000,-3761.177,1516.511,120.831,-3761.177,1516.511,120.831
753,37,1798,-265.441,7.821,7.399,-4024.061,1526.992,127.333,-3758.620,1519.171,119.934
755,37,2562,-376.302,64.659,13.417,-4133.165,1583.767,132.985,-3756.863,1519.108,119.568
759,37,3758,-234.428,206.541,9.401,-3991.639,1722.235,128.364,-3757.211,1515.694,118.963
762,37,4972,-396.381,217.400,17.959,-4151.261,1736.975,136.521,-3754.880,1519.575,118.562
763,38,0,0.000,0.000,0.000,-4342.779,1829.788,147.744,-4342.779,1829.788,147.744
764,38,944,-132.561,90.137,1.464,-4473.221,1919.660,149.203,-4340.660,1829.523,147.739
765,38,1808,-236.959,211.635,1.800,-4575.314,2041.085,149.421,-4338.355,1829.450,147.621
766,38,2208,-250.717,261.524,2.257,-4588.678,2090.374,150.016,-4337.961,1828.850,147.759
